"","x"
"1","AT1G01010"
"2","AT1G01030"
"3","AT1G01060"
"4","AT1G01210"
"5","AT1G01250"
"6","AT1G01260"
"7","AT1G01380"
"8","AT1G01520"
"9","AT1G01720"
"10","AT1G02220"
"11","AT1G02230"
"12","AT1G02340"
"13","AT1G02740"
"14","AT1G03040"
"15","AT1G03800"
"16","AT1G03970"
"17","AT1G04100"
"18","AT1G04240"
"19","AT1G04250"
"20","AT1G04550"
"21","AT1G05230"
"22","AT1G05690"
"23","AT1G05710"
"24","AT1G05805"
"25","AT1G05830"
"26","AT1G06040"
"27","AT1G06070"
"28","AT1G06150"
"29","AT1G06160"
"30","AT1G06180"
"31","AT1G06660"
"32","AT1G06850"
"33","AT1G07050"
"34","AT1G07520"
"35","AT1G07530"
"36","AT1G07640"
"37","AT1G07705"
"38","AT1G07980"
"39","AT1G08000"
"40","AT1G08010"
"41","AT1G08465"
"42","AT1G08540"
"43","AT1G08620"
"44","AT1G08810"
"45","AT1G08970"
"46","AT1G09250"
"47","AT1G09530"
"48","AT1G09570"
"49","AT1G09770"
"50","AT1G10120"
"51","AT1G10170"
"52","AT1G10240"
"53","AT1G10450"
"54","AT1G10470"
"55","AT1G10585"
"56","AT1G10610"
"57","AT1G11270"
"58","AT1G11760"
"59","AT1G12260"
"60","AT1G12610"
"61","AT1G12630"
"62","AT1G12860"
"63","AT1G12890"
"64","AT1G13260"
"65","AT1G13450"
"66","AT1G13960"
"67","AT1G14350"
"68","AT1G14410"
"69","AT1G14440"
"70","AT1G14490"
"71","AT1G14510"
"72","AT1G14580"
"73","AT1G14600"
"74","AT1G14685"
"75","AT1G14687"
"76","AT1G14900"
"77","AT1G14920"
"78","AT1G15050"
"79","AT1G15580"
"80","AT1G15750"
"81","AT1G15780"
"82","AT1G16060"
"83","AT1G16070"
"84","AT1G16490"
"85","AT1G16710"
"86","AT1G17040"
"87","AT1G17590"
"88","AT1G17920"
"89","AT1G18330"
"90","AT1G18340"
"91","AT1G18400"
"92","AT1G18570"
"93","AT1G18710"
"94","AT1G18750"
"95","AT1G18835"
"96","AT1G18950"
"97","AT1G19000"
"98","AT1G19050"
"99","AT1G19220"
"100","AT1G19330"
"101","AT1G19350"
"102","AT1G19485"
"103","AT1G19490"
"104","AT1G19510"
"105","AT1G19700"
"106","AT1G19850"
"107","AT1G20640"
"108","AT1G20693"
"109","AT1G20696"
"110","AT1G20980"
"111","AT1G21150"
"112","AT1G21200"
"113","AT1G21450"
"114","AT1G21600"
"115","AT1G21910"
"116","AT1G22070"
"117","AT1G22190"
"118","AT1G22490"
"119","AT1G22590"
"120","AT1G22640"
"121","AT1G22770"
"122","AT1G22810"
"123","AT1G22985"
"124","AT1G24190"
"125","AT1G24210"
"126","AT1G24260"
"127","AT1G24625"
"128","AT1G25250"
"129","AT1G25280"
"130","AT1G25440"
"131","AT1G25470"
"132","AT1G25550"
"133","AT1G25560"
"134","AT1G25580"
"135","AT1G26260"
"136","AT1G26330"
"137","AT1G26470"
"138","AT1G26790"
"139","AT1G26945"
"140","AT1G26960"
"141","AT1G27045"
"142","AT1G27050"
"143","AT1G27360"
"144","AT1G27370"
"145","AT1G27660"
"146","AT1G27730"
"147","AT1G28050"
"148","AT1G28310"
"149","AT1G28370"
"150","AT1G28420"
"151","AT1G28470"
"152","AT1G28520"
"153","AT1G29160"
"154","AT1G29220"
"155","AT1G29280"
"156","AT1G29950"
"157","AT1G30210"
"158","AT1G30330"
"159","AT1G30490"
"160","AT1G30500"
"161","AT1G30810"
"162","AT1G30970"
"163","AT1G31150"
"164","AT1G32150"
"165","AT1G32240"
"166","AT1G32330"
"167","AT1G32360"
"168","AT1G32640"
"169","AT1G32870"
"170","AT1G33060"
"171","AT1G33760"
"172","AT1G34180"
"173","AT1G34190"
"174","AT1G34370"
"175","AT1G35460"
"176","AT1G35560"
"177","AT1G42990"
"178","AT1G43700"
"179","AT1G43860"
"180","AT1G44810"
"181","AT1G45249"
"182","AT1G46264"
"183","AT1G46480"
"184","AT1G46768"
"185","AT1G47270"
