UniqueCount	AmbigCount
0	0
0	0
0	1
0	0
8	0
32	0
56	1
106	0
0	0
12	0
2	0
1	0
0	0
0	0
47	7
0	16
0	68
0	0
0	0
0	8
0	6
0	0
0	0
0	0
0	0
0	6
0	2
1	5
0	13
0	0
0	2
0	0
0	0
0	0
0	0
1	0
1	91
0	0
0	0
0	0
14	50
0	0
0	1
0	2
0	2
0	0
0	0
141	3
0	3
0	8
11	16
0	12
1	2
6	113
0	9
1	0
0	0
16	25
2	5
10	27
20	2
0	0
0	5
0	0
21	0
9	0
73	0
0	0
92	0
0	0
39	0
0	0
0	0
36	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	38
0	0
0	0
0	0
0	0
0	0
0	0
3	3
1	3
0	2
0	0
0	1
0	0
5	6
0	0
74	0
1	19
8	2
0	4
14	4
0	0
0	0
0	0
1	0
0	0
114	20
0	3
5	0
0	0
8	0
7	0
0	0
8	22
0	0
12	307
18	46
3	1
7	1
0	0
0	0
0	0
0	0
0	8
0	3
1	26
0	0
0	0
0	0
6	7
0	9
0	0
3	0
97	0
40	0
0	0
0	0
0	0
2518	0
0	0
203	0
0	0
0	0
107	0
1	0
2	0
0	0
0	0
670	5
173	4
98	0
198	0
188	1
256	3
278	6
1224	5
0	0
0	0
3	0
0	0
0	0
0	0
0	0
1898	67
1435	67
3	0
102	0
0	0
0	0
231	0
412	6
390	6
57	0
0	0
1643	0
0	0
0	0
0	0
5263	104
14854	198
2731	88
0	0
0	0
67342	7557
209263	7576
1072	6
43	0
0	0
27	0
591	0
562	0
24	0
0	0
6	0
83	0
0	0
1	0
0	0
0	0
156	0
62	0
308	0
44	0
3	0
767	0
1511	1
0	0
2	0
54	1
205	2
140	1
5199	73
2667	72
53	0
4075	25
11101	431
24303	413
19655	820
9274	1026
1986	494
22189	644
1559	359
0	0
140	0
1	0
0	0
459	0
5581	96
3730	94
0	0
0	0
0	0
0	0
0	0
0	2262
72	0
693	0
0	0
30	0
94	2
16	2
24	0
51	0
68	1
320	12
710	27
171	16
22409	2264
83	2028
0	1723
19	1841
12	1477
689	201
7	201
2157	0
2	972
63	972
1081	0
0	0
0	0
0	3
0	3
107	0
0	0
862	0
271	0
45	0
0	0
0	0
0	0
0	0
426	0
94	0
46	0
196	0
0	0
73	0
37	0
14	24
5	24
358	0
2792	0
0	0
81	131
11	131
397	990
0	990
3	0
5	364
91	364
255	655
1	655
0	0
596	0
30	55
0	55
156	0
93	1
2	1
0	0
191	4
1314	0
12	5
0	5
0	0
186	0
121	0
41	442
0	353
0	227
1	316
687	0
12834	2
12	0
47	216
0	216
0	0
23	0
349	0
1151	0
72	141
10	126
9	141
12	0
0	0
