UniqueCount	AmbigCount
2	0
0	0
0	5
0	0
4	0
42	0
66	0
127	0
0	0
0	0
0	0
1	0
1	0
1	0
49	9
0	4
0	55
0	0
0	0
0	14
0	26
0	0
0	0
0	0
0	0
0	7
0	8
5	9
0	23
0	0
0	0
0	0
1	0
0	0
0	0
2	0
2	122
0	0
0	0
0	0
30	38
0	0
0	0
0	0
0	0
0	0
0	0
178	0
0	11
0	15
29	30
1	20
2	11
7	107
0	4
0	0
0	0
20	43
1	10
12	36
26	0
0	0
0	4
1	0
32	0
9	0
63	0
0	0
71	1
0	0
83	0
2	0
1	0
30	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	31
0	0
0	0
0	0
0	0
0	0
1	0
4	8
6	1
0	4
0	0
0	0
0	0
10	6
0	3
98	0
7	25
9	3
0	10
15	3
0	0
0	1
0	0
0	0
0	0
137	34
0	10
0	0
0	0
1	0
6	0
0	0
3	17
0	0
9	336
33	44
3	0
13	0
0	0
0	0
0	0
0	0
0	3
0	13
3	29
0	0
0	0
0	0
10	4
2	7
0	0
1	0
146	0
41	0
0	0
1	0
0	0
5137	5
0	0
272	0
1	0
0	0
148	0
22	0
7	0
0	0
0	0
715	1
241	1
138	0
194	0
193	11
259	1
288	3
968	3
0	0
1	0
27	0
0	0
0	0
0	0
0	0
2631	60
2799	60
4	0
105	0
0	0
0	0
425	0
934	5
815	4
74	0
0	0
1464	0
0	0
1	0
0	0
7289	73
17065	124
2970	47
0	0
0	0
67916	3742
213986	3763
2147	30
59	0
0	0
42	0
532	0
629	0
78	0
4	0
0	0
96	0
3	0
2	0
0	0
1	0
822	0
120	1
345	1
29	0
5	0
827	0
1864	0
1	0
6	0
54	1
298	2
241	1
4440	56
2580	56
133	0
3561	14
8797	213
18375	199
13570	341
7162	441
1854	248
19962	342
1774	194
0	0
157	1
6	0
0	0
696	0
5722	71
3226	73
0	0
0	0
0	0
0	0
0	0
0	1914
66	0
942	1
1	0
38	0
109	0
34	0
22	0
26	0
66	0
