"","gcv_value","iqr_value","woo_differentially_expressed","regulator_in_GRN"
"AT2G32230",0.00358614945463104,2.88127499096524,TRUE,FALSE
"AT1G74070",0.00422435319550595,2.12301773660666,TRUE,FALSE
"AT3G02450",0.00447586338943109,1.6831997026798,FALSE,FALSE
"AT1G74850",0.00463330833172964,2.53939940387555,TRUE,FALSE
"AT2G45440",0.00469476599781867,2.59698241232862,FALSE,FALSE
"AT3G12930",0.00484060428721323,2.50760115346304,TRUE,FALSE
"AT5G52010",0.00489588512368987,2.09107500443515,FALSE,FALSE
"AT5G07900",0.00489831988095619,2.2769272185109,TRUE,FALSE
"AT2G31800",0.00493274691181816,1.86509161423461,FALSE,FALSE
"AT3G14050",0.00499519918427086,2.52083451830115,TRUE,FALSE
"AT3G01520",0.00506956461768379,2.54142528066381,FALSE,FALSE
"AT3G50830",0.0050801753746598,1.91668954336232,FALSE,FALSE
"AT2G19870",0.0050810747491851,2.27503024132473,FALSE,FALSE
"AT3G06980",0.00529012460666716,2.34460217319334,TRUE,FALSE
"AT1G63680",0.00535334151525976,2.69286127721111,TRUE,FALSE
"AT4G21900",0.00543438602008199,2.85792505516216,FALSE,FALSE
"AT4G23270",0.00550922288827003,2.59214058146117,FALSE,FALSE
"AT2G37860",0.00569794750641436,2.00518126997379,TRUE,FALSE
"AT1G13730",0.00583556652672947,2.33150926377603,TRUE,FALSE
"AT1G09900",0.00584357454153636,2.24678445310588,FALSE,FALSE
"AT3G61770",0.00593725961331326,2.20621094470108,FALSE,FALSE
"AT4G30550",0.00595892887918381,3.20688720905561,TRUE,FALSE
"AT3G63080",0.00600323204808502,3.34763529937378,FALSE,FALSE
"AT5G60960",0.00604211485410613,2.46440087078221,FALSE,FALSE
"AT2G26730",0.00604552179112229,2.0611149431122,TRUE,FALSE
"AT4G28210",0.00606692315892913,2.50876286541454,FALSE,FALSE
"AT5G65207",0.00609679977518484,2.76611675120077,FALSE,FALSE
"AT4G34460",0.00609767995303464,2.01840797635714,TRUE,FALSE
"AT1G29970",0.00617050479073561,2.57199271216112,FALSE,FALSE
"AT5G35220",0.00619047025929587,2.30786553309881,TRUE,FALSE
"AT3G25890",0.00630611142653998,2.56665429569507,FALSE,FALSE
"AT2G30440",0.00631082065883574,2.41957686693524,FALSE,FALSE
"AT1G73030",0.00631687154398678,2.15677147980521,FALSE,FALSE
"AT4G14510",0.00632870661854428,2.26795135432283,FALSE,FALSE
"AT5G57180",0.00633066596540635,1.72317993983096,TRUE,FALSE
"AT3G06780",0.00633737563074672,2.61286670566465,TRUE,FALSE
"AT4G16390",0.00633973180096131,2.7436724304882,TRUE,FALSE
"AT2G37940",0.00636297418621967,2.14829845559883,TRUE,FALSE
"AT5G07320",0.00636872402782772,2.05003233678489,FALSE,FALSE
"AT2G45980",0.00637219458375162,2.52731842256097,FALSE,FALSE
"AT5G10910",0.00639031755240444,2.28123737486217,TRUE,FALSE
"AT1G01970",0.00643167310913948,1.85102779733607,TRUE,FALSE
"AT4G19640",0.00643530197751713,2.85590499670516,TRUE,FALSE
"AT4G15510",0.00652809231481918,2.43677852625052,TRUE,FALSE
"AT4G02990",0.00655640071700805,2.77467713709188,TRUE,FALSE
"AT3G55340",0.00657681545748801,2.7307382578959,FALSE,FALSE
"AT5G23310",0.00662593728249555,2.37540565657272,TRUE,FALSE
"AT1G14410",0.00662863041004788,2.28721439037127,FALSE,FALSE
"AT1G61870",0.00663078101705916,2.7458383759386,FALSE,FALSE
"AT5G02200",0.00664804869437759,3.05812547577042,FALSE,FALSE
"AT4G34480",0.00665376008045877,2.25456840330576,FALSE,FALSE
"AT3G60620",0.0066632177234352,2.33250443511617,FALSE,FALSE
"AT4G30600",0.00671575815307241,2.23916372641383,TRUE,FALSE
"AT1G62422",0.00674146734048661,2.11938406461354,FALSE,FALSE
"AT4G10970",0.00675377360277181,2.58327385721537,FALSE,FALSE
"AT3G47550",0.00676181641515059,2.43607588453623,TRUE,FALSE
"AT3G28460",0.00682581316543726,3.56073538536829,TRUE,FALSE
"AT3G12360",0.00685158205182319,2.10913797229884,FALSE,FALSE
"AT1G11820",0.00687051807901424,2.60788425918738,TRUE,FALSE
"AT5G66640",0.00690658671937194,2.30321181170178,FALSE,FALSE
"AT5G54180",0.00695835957718461,2.14562353303622,TRUE,FALSE
"AT4G32150",0.00697251177903043,2.24123821332812,FALSE,FALSE
"AT1G60600",0.00698508871773432,1.92183298244836,TRUE,FALSE
"AT2G41950",0.00707792875325567,2.83974557080324,TRUE,FALSE
