,gene_name,combined_name_id
AT1G01010,NAC001,NAC001 (AT1G01010)
AT1G01020,ARV1,ARV1 (AT1G01020)
AT1G01030,NGA3,NGA3 (AT1G01030)
AT1G01040,DCL1,DCL1 (AT1G01040)
AT1G01050,PPa1,PPa1 (AT1G01050)
AT1G01060,LHY,LHY (AT1G01060)
AT1G01070,UMAMIT28,UMAMIT28 (AT1G01070)
AT1G01080,AT1G01080,AT1G01080 (AT1G01080)
AT1G01090,PDH-E1 ALPHA,PDH-E1 ALPHA (AT1G01090)
AT1G01100,AT1G01100,AT1G01100 (AT1G01100)
AT1G01110,IQD18,IQD18 (AT1G01110)
AT1G01120,KCS1,KCS1 (AT1G01120)
AT1G01130,AT1G01130,AT1G01130 (AT1G01130)
AT1G01140,CIPK9,CIPK9 (AT1G01140)
AT1G01160,GIF2,GIF2 (AT1G01160)
AT1G01170,AT1G01170,AT1G01170 (AT1G01170)
AT1G01180,AT1G01180,AT1G01180 (AT1G01180)
AT1G01190,CYP78A8,CYP78A8 (AT1G01190)
AT1G01200,RABA3,RABA3 (AT1G01200)
AT1G01210,AT1G01210,AT1G01210 (AT1G01210)
AT1G01220,FKGP,FKGP (AT1G01220)
AT1G01225,AT1G01225,AT1G01225 (AT1G01225)
AT1G01230,AT1G01230,AT1G01230 (AT1G01230)
AT1G01240,AT1G01240,AT1G01240 (AT1G01240)
AT1G01250,AT1G01250,AT1G01250 (AT1G01250)
AT1G01260,AT1G01260,AT1G01260 (AT1G01260)
AT1G01290,CNX3,CNX3 (AT1G01290)
AT1G01300,AT1G01300,AT1G01300 (AT1G01300)
AT1G01320,AT1G01320,AT1G01320 (AT1G01320)
AT1G01340,CNGC10,CNGC10 (AT1G01340)
AT1G01350,AT1G01350,AT1G01350 (AT1G01350)
AT1G01355,AT1G01355,AT1G01355 (AT1G01355)
AT1G01360,RCAR1,RCAR1 (AT1G01360)
AT1G01370,HTR12,HTR12 (AT1G01370)
AT1G01380,ETC1,ETC1 (AT1G01380)
AT1G01390,AT1G01390,AT1G01390 (AT1G01390)
AT1G01420,UGT72B3,UGT72B3 (AT1G01420)
AT1G01430,TBL25,TBL25 (AT1G01430)
AT1G01440,AT1G01440,AT1G01440 (AT1G01440)
AT1G01448,AT1G01448,AT1G01448 (AT1G01448)
AT1G01470,LEA14,LEA14 (AT1G01470)
AT1G01480,ACS2,ACS2 (AT1G01480)
AT1G01490,AT1G01490,AT1G01490 (AT1G01490)
AT1G01500,AT1G01500,AT1G01500 (AT1G01500)
AT1G01510,AN,AN (AT1G01510)
AT1G01520,ASG4,ASG4 (AT1G01520)
AT1G01540,AT1G01540,AT1G01540 (AT1G01540)
AT1G01550,BPS1,BPS1 (AT1G01550)
AT1G01560,MPK11,MPK11 (AT1G01560)
AT1G01570,AT1G01570,AT1G01570 (AT1G01570)
AT1G01580,FRO2,FRO2 (AT1G01580)
AT1G01610,GPAT4,GPAT4 (AT1G01610)
AT1G01620,PIP1C,PIP1C (AT1G01620)
AT1G01630,AT1G01630,AT1G01630 (AT1G01630)
AT1G01640,AT1G01640,AT1G01640 (AT1G01640)
AT1G01650,SPPL4,SPPL4 (AT1G01650)
AT1G01660,AT1G01660,AT1G01660 (AT1G01660)
AT1G01670,AT1G01670,AT1G01670 (AT1G01670)
AT1G01690,PRD3,PRD3 (AT1G01690)
AT1G01700,ROPGEF2,ROPGEF2 (AT1G01700)
AT1G01710,AT1G01710,AT1G01710 (AT1G01710)
AT1G01720,ATAF1,ATAF1 (AT1G01720)
AT1G01725,AT1G01725,AT1G01725 (AT1G01725)
AT1G01730,AT1G01730,AT1G01730 (AT1G01730)
AT1G01740,BSK4,BSK4 (AT1G01740)
AT1G01760,AT1G01760,AT1G01760 (AT1G01760)
AT1G01770,AT1G01770,AT1G01770 (AT1G01770)
AT1G01780,PLIM2b,PLIM2b (AT1G01780)
AT1G01790,KEA1,KEA1 (AT1G01790)
AT1G01800,AT1G01800,AT1G01800 (AT1G01800)
AT1G01810,AT1G01810,AT1G01810 (AT1G01810)
AT1G01820,PEX11C,PEX11C (AT1G01820)
AT1G01830,AT1G01830,AT1G01830 (AT1G01830)
AT1G01840,AT1G01840,AT1G01840 (AT1G01840)
AT1G01860,PFC1,PFC1 (AT1G01860)
AT1G01880,AT1G01880,AT1G01880 (AT1G01880)
AT1G01900,SBTI1.1,SBTI1.1 (AT1G01900)
AT1G01910,AT1G01910,AT1G01910 (AT1G01910)
AT1G01920,AT1G01920,AT1G01920 (AT1G01920)
AT1G01930,AT1G01930,AT1G01930 (AT1G01930)
AT1G01940,AT1G01940,AT1G01940 (AT1G01940)
AT1G01950,ARK2,ARK2 (AT1G01950)
AT1G01960,EDA10,EDA10 (AT1G01960)
AT1G01970,AT1G01970,AT1G01970 (AT1G01970)
